Source IP,Destination IP,Protocol,Timestamp,Precise Timestamp,Delta Time,TTL,IP Header Length,Total Length,Source Port,Destination Port,Packet Size
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:28,1729445908.902881,0,128,20,52,50238,6469,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:28,1729445908.902882,0.001499,128,20,52,50234,6465,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:28,1729445908.902882,0.0065,128,20,52,50237,6473,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:28,1729445908.902883,0.0045,128,20,52,50242,6470,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:28,1729445908.902885,0.003503,128,20,52,50235,6467,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:28,1729445908.902883,0.004498,128,20,52,50241,6464,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:28,1729445908.902884,0.006999,128,20,52,50240,6468,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:28,1729445908.902898,0.013533,128,20,40,6467,50235,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:28,1729445908.902897,0.004,128,20,40,6470,50242,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:28,1729445908.902898,0.004,128,20,40,6465,50234,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:28,1729445908.902898,0.004002,128,20,40,6469,50238,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:28,1729445908.902898,0.005003,128,20,40,6473,50237,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:28,1729445908.902905,0.004997,128,20,40,6464,50241,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:28,1729445908.902907,0.004908,128,20,52,50236,6463,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:28,1729445908.902906,0.006613,128,20,40,6468,50240,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:28,1729445908.902911,0.004335,128,20,40,6463,50236,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:28,1729445908.902915,0.005,128,20,52,50239,6471,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:28,1729445908.902918,0.004503,128,20,40,6471,50239,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:28,1729445908.91837,0.004506,128,20,52,50244,6472,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.91837,0.012501,128,20,52,50243,6466,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.918383,0.017001,128,20,40,6466,50243,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.918383,0.009001,128,20,40,6472,50244,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.92716,0.005501,128,20,368,60502,60504,372
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.92718,0.006,128,20,40,60504,60502,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.927434,0.0055,128,20,255,60502,60504,259
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.927447,0.007002,128,20,40,60504,60502,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.927567,0.004499,128,20,368,60502,60504,372
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.927575,0.004502,128,20,40,60504,60502,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.927928,0.004999,128,20,255,60502,60504,259
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.927935,0.004,128,20,40,60504,60502,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.928012,0.005129,128,20,368,60502,60504,372
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.928017,0.005499,128,20,40,60504,60502,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.928218,0.0065,128,20,255,60502,60504,259
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.928224,0.006002,128,20,40,60504,60502,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.928287,0.005,128,20,368,60502,60504,372
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.928292,0.004499,128,20,40,60504,60502,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.928501,0.004501,128,20,255,60502,60504,259
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.928506,0.004503,128,20,40,60504,60502,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.971731,0.005402,128,20,481,60502,60504,485
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445908.971751,0.0045,128,20,40,60504,60502,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.412475,0.279674,128,20,52,50238,6469,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.412476,0.001501,128,20,52,50235,6467,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.412476,0.024002,128,20,52,50237,6473,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.41248,0.011499,128,20,52,50242,6470,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.412485,0.0085,128,20,52,50234,6465,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.412495,0.0055,128,20,40,6469,50238,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.412496,0.005001,128,20,40,6470,50242,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.412496,0.004499,128,20,40,6467,50235,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.412496,0.0045,128,20,40,6473,50237,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.412502,0.0045,128,20,40,6465,50234,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.412513,0.0045,128,20,52,50236,6463,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.412519,0.005,128,20,40,6463,50236,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.412526,0.004,128,20,52,50239,6471,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.412542,0.0045,128,20,40,6471,50239,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.41256,0.0045,128,20,52,50241,6464,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.412582,0.0075,128,20,40,6464,50241,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.412584,0.004501,128,20,52,50240,6468,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.412602,0.003999,128,20,40,6468,50240,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.427984,0.005001,128,20,52,50244,6472,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.428014,0.003999,128,20,40,6472,50244,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.428076,0.007001,128,20,52,50243,6466,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.428091,0.004499,128,20,40,6466,50243,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.87214,0.331463,128,20,41,49460,49459,45
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.87216,0.001001,128,20,40,49459,49460,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.872219,0.005501,128,20,41,49460,49459,45
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.872223,0.004509,128,20,40,49459,49460,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.921998,0.03408,128,20,368,60502,60504,372
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.922017,0.008952,128,20,40,60504,60502,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.922469,0.005,128,20,52,50237,6473,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.92248,0.018501,128,20,40,6473,50237,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.922479,0.005513,128,20,52,50234,6465,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.922485,0.004492,128,20,52,50238,6469,56
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.922489,0.004495,128,20,40,6465,50234,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.922492,0.0075,128,20,40,6469,50238,44
127.0.0.1,127.0.0.1,TCP,2024-10-20 13:38:29,1729445909.922495,0.017001,128,20,52,50236,6463,56
